Job ID: 10490560
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id InvertedPendulum-v4   --run-id 10490560   --seed 5   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
global_step=3520, episode=496, episodic_return=9.000
global_step=3524, episode=497, episodic_return=3.000
global_step=3535, episode=498, episodic_return=10.000
global_step=3540, episode=499, episodic_return=4.000
global_step=3544, episode=500, episodic_return=3.000
global_step=3548, episode=501, episodic_return=3.000
global_step=3554, episode=502, episodic_return=5.000
global_step=3558, episode=503, episodic_return=3.000
global_step=3566, episode=504, episodic_return=7.000
global_step=3570, episode=505, episodic_return=3.000
global_step=3575, episode=506, episodic_return=4.000
global_step=3582, episode=507, episodic_return=6.000
global_step=3587, episode=508, episodic_return=4.000
global_step=3592, episode=509, episodic_return=4.000
global_step=3598, episode=510, episodic_return=5.000
global_step=3603, episode=511, episodic_return=4.000
global_step=3608, episode=512, episodic_return=4.000
global_step=3630, episode=513, episodic_return=21.000
global_step=3635, episode=514, episodic_return=4.000
global_step=3643, episode=515, episodic_return=7.000
global_step=3648, episode=516, episodic_return=4.000
global_step=3654, episode=517, episodic_return=5.000
global_step=3659, episode=518, episodic_return=4.000
global_step=3667, episode=519, episodic_return=7.000
global_step=3676, episode=520, episodic_return=8.000
global_step=3688, episode=521, episodic_return=11.000
global_step=3697, episode=522, episodic_return=8.000
global_step=3703, episode=523, episodic_return=5.000
global_step=3714, episode=524, episodic_return=10.000
global_step=3721, episode=525, episodic_return=6.000
global_step=3725, episode=526, episodic_return=3.000
global_step=3729, episode=527, episodic_return=3.000
global_step=3738, episode=528, episodic_return=8.000
global_step=3742, episode=529, episodic_return=3.000
global_step=3749, episode=530, episodic_return=6.000
global_step=3762, episode=531, episodic_return=12.000
global_step=3768, episode=532, episodic_return=5.000
global_step=3775, episode=533, episodic_return=6.000
global_step=3786, episode=534, episodic_return=10.000
global_step=3792, episode=535, episodic_return=5.000
global_step=3798, episode=536, episodic_return=5.000
global_step=3802, episode=537, episodic_return=3.000
global_step=3807, episode=538, episodic_return=4.000
global_step=3811, episode=539, episodic_return=3.000
global_step=3828, episode=540, episodic_return=16.000
global_step=3833, episode=541, episodic_return=4.000
global_step=3844, episode=542, episodic_return=10.000
global_step=3851, episode=543, episodic_return=6.000
global_step=3855, episode=544, episodic_return=3.000
global_step=3860, episode=545, episodic_return=4.000
global_step=3866, episode=546, episodic_return=5.000
global_step=3870, episode=547, episodic_return=3.000
global_step=3875, episode=548, episodic_return=4.000
global_step=3898, episode=549, episodic_return=22.000
global_step=3902, episode=550, episodic_return=3.000
global_step=3907, episode=551, episodic_return=4.000
global_step=3913, episode=552, episodic_return=5.000
global_step=3920, episode=553, episodic_return=6.000
global_step=3930, episode=554, episodic_return=9.000
global_step=3936, episode=555, episodic_return=5.000
global_step=3940, episode=556, episodic_return=3.000
global_step=3945, episode=557, episodic_return=4.000
global_step=3950, episode=558, episodic_return=4.000
global_step=3964, episode=559, episodic_return=13.000
global_step=3968, episode=560, episodic_return=3.000
global_step=3972, episode=561, episodic_return=3.000
global_step=3981, episode=562, episodic_return=8.000
global_step=3989, episode=563, episodic_return=7.000
global_step=3994, episode=564, episodic_return=4.000
global_step=3999, episode=565, episodic_return=4.000
global_step=4004, episode=566, episodic_return=4.000
global_step=4012, episode=567, episodic_return=7.000
global_step=4021, episode=568, episodic_return=8.000
global_step=4031, episode=569, episodic_return=9.000
global_step=4036, episode=570, episodic_return=4.000
global_step=4040, episode=571, episodic_return=3.000
global_step=4054, episode=572, episodic_return=13.000
global_step=4064, episode=573, episodic_return=9.000
global_step=4071, episode=574, episodic_return=6.000
global_step=4078, episode=575, episodic_return=6.000
global_step=4086, episode=576, episodic_return=7.000
global_step=4090, episode=577, episodic_return=3.000
global_step=4095, episode=578, episodic_return=4.000
